,Worker 0,Worker 1,Worker 2,Worker 3,Worker 4
0,"[1.0059881210327148, 1.0059880178624934, 1.0052583780192366, 1.0056713732324465, 0.9991372787470769, 0.9312360741333529, 0.9162499603538802, 0.921374067507609, 0.8815166725474175, 0.7960890627539519, 0.8327612685555159, 0.805019512394763, 0.7620127580954571, 0.7337773613255434, 0.7100275567204061, 0.7442987906180247, 0.7130847276100004, 0.6856338995077995, 0.6910115762009765, 0.6709654768323056]","[1.0059880018234253, 1.0058578231117943, 1.004132534747172, 0.9907054117653105, 0.8526552356343077, 0.9882163131477857, 0.8801221390806063, 0.9217503838406669, 0.7216924465349829, 0.8327643532193069, 0.786834532639595, 0.7611912177367643, 0.6915394875723304, 0.6732227775258849, 0.6459671055262137, 0.6673558370618508, 0.6470060449567708, 0.6200824244184927, 0.6150122504869495, 0.6186301826347004]","[1.0059880018234253, 1.0059881734848022, 1.0057907480663724, 0.8854139982269268, 0.8431001552126625, 0.9520127523728091, 0.9181324316696687, 0.8143792695379016, 0.711884775078959, 0.6728817746901151, 0.6927331518073274, 0.9888178739884887, 0.6761666883407819, 0.6822962903585097, 0.6687536022277794, 0.6493964076252898, 0.668085462064153, 0.6623107066509699, 0.6592845139614861, 0.6512149116216284]","[1.0059878826141357, 1.00589635131335, 1.0059877634048462, 0.9673498940768868, 0.8892309004941372, 0.9012819980732119, 0.9961496203114288, 0.8029778544198383, 0.9175595786113931, 0.769886025060909, 0.7786636995516643, 0.7632265845603413, 0.7468728495848299, 0.7123376659085654, 0.7107734767927064, 0.6826549306782809, 0.6699201365372147, 0.6611756644209829, 0.6263506188808066, 0.646369697635222]","[1.0059878826141357, 1.005893335438738, 1.0058485345406967, 0.939657936872858, 0.8933059756834097, 0.9887312382038194, 0.9270461164640658, 0.8399639622731643, 0.7840190202930961, 0.7125406638043698, 0.9928400479783915, 0.7401246484105635, 0.6811713171396593, 0.6747839203311338, 0.6591147392386137, 0.6561417271678496, 0.6510869633549392, 0.6375021400927293, 0.6300060193842709, 0.6205636639607073]"
1,"[1.0059880018234253, 1.0059636679321828, 0.9742727732537972, 0.9790261994708668, 0.8289599922088662, 0.9093330438149095, 0.9298631595571836, 0.7760234273864766, 0.6754366107044196, 0.9620079071292974, 0.7195787148313089, 0.6742566883293065, 0.6573929190184131, 0.6547361000062841, 0.6533049741402419, 0.6632530002431436, 0.647074664969637, 0.6501357757051786, 0.6581017848292384, 0.6416974211958322]","[1.0059881210327148, 1.0059881210327148, 1.0059878826141357, 0.9993753780981507, 0.9033740550701064, 0.9139017242795289, 0.9909488595736147, 0.8874806917917849, 0.7689611962783818, 0.7557360468127511, 0.962186313114985, 0.751236978757261, 0.7387499108940664, 0.7191751990234009, 0.7007097824971483, 0.6963346316733143, 0.6767783999729036, 0.6571721435345784, 0.6285122831301255, 0.6472936303823283]","[1.0059880018234253, 1.0059881210327148, 1.0052641138404306, 0.9933576135322301, 0.8945737110274007, 0.9266776749702416, 0.9370306028139712, 0.8259877019006796, 0.7554701087405585, 0.9644323479045521, 0.7355651806776572, 0.7178560606292402, 0.7047689890485219, 0.69872034988018, 0.679226064414087, 0.6580726197482359, 0.6367085424953639, 0.6573188369141685, 0.6375774938274513, 0.6446615496699256]","[1.0059880018234253, 1.0059877777340436, 1.0017326528375798, 1.0047608505595813, 0.8335053080380564, 0.9300012676462983, 0.9065623468281042, 0.8225915339927782, 0.9640462703355636, 0.6761856719324685, 0.7406551982424777, 0.7128959794722572, 0.6719609102682031, 0.6536020770157226, 0.6518706218085506, 0.6382844564243398, 0.6470902593704787, 0.6479683288299676, 0.6290473800325634, 0.6234571547580487]","[1.0059879532727327, 1.0059882402420044, 0.984490937993984, 1.0053574039719322, 0.919336427952906, 0.9507070267320883, 0.8383647012529951, 0.8264037970521233, 0.9679802547380177, 0.8001656753652625, 0.7288737550513311, 0.7548980690809813, 0.6845149083525846, 0.6913319958927053, 0.6575905446647996, 0.6582642966252987, 0.6553054061140677, 0.6541351178454028, 0.6490432801075054, 0.6408380982189468]"
2,"[1.0059880018234253, 1.0059675628488713, 1.005700911175121, 1.0009385274757039, 0.8465896389671046, 0.9012360671614156, 0.9488564915849705, 0.8775009391343955, 0.7280141353757694, 0.6734309753685287, 0.7051026415313133, 0.7095503839007532, 0.6595628779554608, 0.6405304036823788, 0.5960467890943542, 0.6395502713352743, 0.602045989628091, 0.5946600874520913, 0.5776280147236104, 0.5924761853103686]","[1.0059880018234253, 1.0059876386324564, 1.0057395509517555, 0.9691296540727519, 0.9842377803482191, 0.9871293919315242, 0.8647928437981943, 0.8497048192885187, 0.9736575654480193, 0.7658483679968902, 0.7003394172438467, 0.7186249369683891, 0.681711476121587, 0.677975700118325, 0.6830377572804991, 0.6752116621594236, 0.662999087000134, 0.6663624633502478, 0.6587330775459608, 0.6454480637895941]","[1.0059880018234253, 1.005988308877656, 1.0043806501350017, 0.9800515941899233, 0.9681181935710136, 0.8406621996049929, 0.862498861454954, 0.807006467650033, 0.8399365325618272, 0.731031342814065, 0.7347045237382855, 0.7373808127656729, 0.7360576466568792, 0.705863695250015, 0.718345535051341, 0.701061334525696, 0.6813460639149251, 0.6662292347833364, 0.6661321595597147, 0.6825567238740247]","[1.0059880018234253, 1.0059673734385557, 1.0044117908285122, 1.0058122285929594, 0.9677476095069538, 0.9604128853781054, 0.975069334771898, 0.9751957626776262, 0.8123276826317865, 0.6710200066518301, 0.7463513882127073, 0.6804200660866319, 0.6448918458352787, 0.6415700368951969, 0.6234194902112388, 0.6312229475529507, 0.6278100048773216, 0.6054948217700226, 0.6052940542499224, 0.602837976604098]","[1.0059880018234253, 1.005980613833726, 0.9963099826465953, 0.9555630043630648, 1.0055677691613785, 0.8864530353534101, 0.8345747636574687, 0.873135777772075, 0.8117434396286204, 0.7531874482664797, 0.7440773815684246, 0.779029040768592, 0.7584976507136316, 0.738430602607703, 0.7094571305013666, 0.714003646178077, 0.7049142145297744, 0.7055750542397451, 0.6875778374376923, 0.6928413025869263]"
3,"[1.0059880018234253, 1.0059877634048462, 1.005780905617608, 1.0032529242472215, 0.9665239616776957, 0.9296212369233671, 0.9562666425680874, 0.8464967941364857, 0.9672104986388274, 0.8119471021041725, 0.7749720278051164, 0.7748674177762234, 0.7393447241442974, 0.7057775309305601, 0.6505976473096043, 0.635751846819514, 0.6638751761886207, 0.6276636658518603, 0.6137395037545098, 0.6030105532570319]","[1.0059880018234253, 1.0057667812193283, 1.0059878826141357, 0.9996661153345398, 0.8882636553380224, 0.8373727499234556, 0.7470209697144802, 0.8610136979095864, 0.708246412683617, 0.9774948278942494, 0.6949965647600516, 0.6944380127119295, 0.6697761630161543, 0.6826659474529401, 0.6513515833772794, 0.6667019264219385, 0.6499989247352186, 0.6479900692132387, 0.6348401936045801, 0.6395800769359175]","[1.0059878826141357, 1.0059881210327148, 1.0059877085444904, 1.0027979033041483, 0.9833808871591934, 0.8566462367863366, 0.8209694976035995, 0.9832586562452894, 0.9233547972368471, 0.7581028737458918, 0.7865446560747094, 0.7730060324795318, 0.7538263030440518, 0.748698683904879, 0.7168382420548887, 0.7264820792548584, 0.7160329773811379, 0.6757707639053614, 0.6725132928939179, 0.6816362243770349]","[1.0059879883130391, 1.0059880018234253, 0.9986956434057217, 0.8545082030091623, 1.00481911859127, 0.8574327204233468, 0.9279915158796792, 0.8463419040736526, 0.8842134821535361, 0.7995841456603522, 0.7346439574433096, 0.7680703155440514, 0.712395775598107, 0.705378590930592, 0.6914605093017371, 0.6927873998564301, 0.6771286698558716, 0.669984278579553, 0.6472107815832803, 0.6324123577653158]","[1.0059880018234253, 1.0059882402420044, 1.0048615388195925, 0.969363382272046, 1.000665693246957, 0.8995031632498057, 0.9158120764280209, 1.0002588445008402, 0.9434619488378968, 0.7501344225111634, 0.6669677016319651, 0.7103865809798843, 0.6376521401829792, 0.6472439011088525, 0.6234496113070936, 0.6442856938143571, 0.6200942348229764, 0.615780724223816, 0.6082524713046021, 0.6244261801558914]"
4,"[1.0059880018234253, 1.0059879994392396, 1.0032358171602693, 0.948910728689998, 1.0059402293869943, 0.8215305833142214, 0.9351845546563466, 0.8226760761725782, 0.869026244914893, 0.8144452776586769, 0.7506321953944486, 0.7738919140067365, 0.7317023026732483, 0.7181345881371185, 0.6916956332325935, 0.6862285103265083, 0.7101736577667973, 0.6710919366551168, 0.6716834271345475, 0.6778500507922486]","[1.0059880458947383, 1.0059847490956084, 1.0059878087043763, 1.0048848146621627, 0.9419865128939802, 0.9437559746551996, 0.9594777701298396, 0.83040832676445, 0.7886928703101597, 0.7422319050893338, 0.7685132391720709, 1.000774694801581, 0.7371000396859164, 0.761660831110044, 0.7180259668827057, 0.736394433269296, 0.6960108783464841, 0.6777747368526579, 0.6491333491182086, 0.6561633225673377]","[1.0059880018234253, 1.0059878826141357, 0.9984488933375387, 1.0039053653225753, 0.9636579211221801, 0.8501771354464569, 0.9583352508749625, 0.8763486624305898, 0.7696413585980131, 0.9798867154302019, 0.7385440829185524, 0.7438959271227471, 0.7257116323498765, 0.7117925994263755, 0.6902953978801014, 0.7022483201641025, 0.6757152424045283, 0.6684753987614555, 0.6636659256918261, 0.6516552852319949]","[1.0059880018234253, 1.0059878721381679, 1.0051884607112769, 1.0019754307077389, 0.9428545617966941, 0.9848677542414328, 0.9754314301110277, 0.8974851941580724, 0.9855338517282949, 0.8376617277270616, 0.7411075564376032, 0.7725515329551818, 0.7281406123213696, 0.7195320762994916, 0.7155812349915505, 0.693903094247134, 0.6893942544526525, 0.6815020756288008, 0.6650956774119174, 0.6646316112051106]","[1.0059880018234253, 1.0059878826141357, 1.0058407878875733, 0.9961677212426157, 0.9785491888812095, 0.8925955652287512, 0.8894508457424665, 0.9611270295851159, 0.8873191026665948, 0.8304980233236394, 0.7112214747628178, 0.7500796251119387, 0.6817848219519311, 0.6762315450006663, 0.6624560067223177, 0.6466955652622262, 0.6344031982891487, 0.6341291741334428, 0.6415054240657223, 0.6339417315748604]"
5,"[1.0059880018234253, 1.005906648202376, 1.0011783828036953, 0.9080059598973304, 0.947327651008211, 0.8943388915001744, 0.853535543231651, 0.7532657556807754, 0.9978726897215603, 0.6782425482390505, 0.8411872501054195, 0.6953851945291866, 0.667333605745525, 0.6565308387803309, 0.654974774471437, 0.6528286632895469, 0.6472554596265158, 0.6470314103997115, 0.6404374859685248, 0.6381134815378623]","[1.0059880739992315, 1.0059881210327148, 0.9426585860986902, 1.0059626573504823, 0.8629805974466632, 0.8681449609182098, 0.9755133306137239, 0.8722687963479095, 0.9128873308921102, 0.7541440675324864, 0.8461465259633884, 0.7823034197694123, 0.7330457688431548, 0.7135603258104035, 0.6777716668115722, 0.7015075161541351, 0.6486938109301558, 0.6590395122781546, 0.6283970280277609, 0.6398763887840088]","[1.0059880018234253, 1.00598793270612, 0.9643590062796468, 0.9856305775497899, 0.9935811776645256, 0.9702017777435707, 0.9483504996576695, 0.9224373874038156, 0.9920661696340098, 0.7161991288701092, 0.8115567775025512, 0.751651450323336, 0.699631906711694, 0.7031751719674076, 0.6832591499192546, 0.6861090911699064, 0.6639126042479818, 0.672209635563571, 0.6710650181890738, 0.6707935166750292]","[1.0059880018234253, 1.0059878826141357, 0.9985827492583882, 1.0059043791559008, 0.9390387788926712, 0.9568786840306388, 0.8276080379642622, 0.7980021716067285, 0.808655907573423, 0.978190879388289, 0.7734048230509565, 0.8065782303205042, 0.7678147965895407, 0.7410175200574326, 0.7188905858301153, 0.7078648997211096, 0.6939667713581914, 0.6666960638942141, 0.6623603139170493, 0.6309917411403825]","[1.0059878898389412, 1.0059878945350647, 1.0059878826141357, 0.987429018147064, 0.9705265497077595, 0.9823769270651268, 0.9319347505617623, 0.8740391609193099, 0.9466987660316506, 0.79565230101648, 0.7751604713725321, 0.8032412163506855, 0.7755921781815663, 0.7572796344546356, 0.7605465547394271, 0.7233251140515009, 0.7190427670259066, 0.7011806489722897, 0.6751166492249027, 0.6744129652116033]"
6,"[1.0059881210327148, 1.0059805995767768, 1.0052443572969147, 0.9642928670452099, 0.8913245189551151, 1.0001082683332039, 0.9356332496982632, 0.931618899883646, 0.9178948576703216, 0.8350679105550352, 0.7573882445828481, 0.7817157993473188, 0.7724841164052486, 0.7587174068737512, 0.7333861628746745, 0.7260652518257348, 0.6994169655291721, 0.7142813960741264, 0.6553002618644574, 0.6547837830643461]","[1.0059880018234253, 1.005988305289336, 1.0059489895599056, 1.0051108490096199, 0.9888117911960139, 0.9221455987866479, 0.9911210194922457, 0.8029095879769085, 0.9224161108997133, 0.728651221475818, 0.6853126331606899, 0.6930568784008725, 0.6747982308509374, 0.6482524296739186, 0.6605684676450311, 0.6504021250238322, 0.6379722065741967, 0.6493438668067407, 0.6326116156186721, 0.6236202418036533]","[1.0059880018234253, 1.0054552845521407, 1.0059877085444904, 1.0017264014903946, 0.9606568788458603, 0.8838560025258497, 0.7665972891750962, 0.870892890788088, 0.8738135152874571, 0.7152358151836828, 0.7242655622342018, 0.7115593923026263, 0.703068222769282, 0.711042253066494, 0.6884158638691661, 0.6955005734782629, 0.6840866161235655, 0.671257588282378, 0.6750571965448784, 0.6819656630086176]","[1.0059880018234253, 1.0058925953778353, 1.001478276481532, 1.000705403571177, 0.9728288691031812, 0.9652429729700088, 0.9935793710718251, 0.9193286163517923, 0.8834422994563074, 0.9286822832473601, 0.8160127847212734, 0.8159060556403916, 0.7919241304695607, 0.7631888073201132, 0.7279863033375957, 0.7502512468668547, 0.738998863069397, 0.7328145350831927, 0.7185465179383754, 0.7365095176314465]","[1.0059880018234253, 1.0059864452872613, 1.0017385192832562, 0.9948027671166141, 1.0017333645170385, 0.8812643026221882, 0.9455241936866683, 0.8834040430820349, 0.8957938471888051, 0.902891909148958, 0.7901282619406479, 0.8572561382043241, 0.7714285215870901, 0.7311616397686679, 0.7158902403275774, 0.7032840435936897, 0.6747459005903114, 0.6580375437859936, 0.6358332028985023, 0.6437309391924528]"
7,"[1.0059880018234253, 1.005980427746821, 0.9756521570200872, 1.0059754817413562, 0.8430565228034752, 0.9327227170118177, 0.913049526289858, 0.7852843420884826, 0.6934852722144187, 0.9613108658429348, 0.6837007928571918, 0.7174058247684981, 0.6749497021644404, 0.6627917727195856, 0.6313272044845302, 0.6413899519994404, 0.6300838560769052, 0.6141439043602558, 0.6081441838331897, 0.6108061932539097]","[1.0059880018234253, 1.0059858878935226, 1.0056394376176776, 1.0030291029901215, 0.9216285727240823, 0.9302950584587425, 0.9390161884372885, 0.8601768007287474, 0.7195086576315489, 0.748894241531991, 0.7267472001654331, 0.9964185273165654, 0.6979114798012406, 0.6861291380377129, 0.6748474341721246, 0.6587193239773764, 0.6633994116656708, 0.6372674510033444, 0.626104305770361, 0.641811663981038]","[1.0059881210327148, 1.0059803489964418, 1.0059734773635864, 0.9906125252776675, 0.9328956879449614, 0.812781086106493, 0.7472515189993864, 0.904928137807533, 0.8621400300752032, 0.7445402766448078, 0.7330705650421706, 0.7342945595190983, 0.7344310370614432, 0.7340181049885172, 0.7093730873998367, 0.7290097313893564, 0.6859378328798997, 0.6825884386505744, 0.6535990445150269, 0.6760492648771315]","[1.0059880018234253, 1.005106580233333, 1.0001311598281668, 0.9952491753510755, 0.9667235118812985, 0.934747186333242, 0.8626372337401516, 0.7991515097895054, 0.7048064261825397, 0.9599535588483618, 0.7462497818439898, 0.7081870915161239, 0.6781393778459592, 0.6619960943933088, 0.6596478028083691, 0.6580409489662358, 0.6473792757199268, 0.6398127981343052, 0.636173664447334, 0.6330089018381003]","[1.0059880018234253, 1.0059862723735848, 1.004110612170865, 1.003215551207764, 0.9409125349256727, 0.99704413678911, 0.8317642989724573, 0.9997339179660335, 0.7734152246251552, 0.8892861052429435, 0.7291268245604905, 0.7461915528984985, 0.7190032947620358, 0.7118338996819173, 0.7031934096731923, 0.6941025524037053, 0.6984320211320212, 0.6715686734532467, 0.684534331292215, 0.6610501439463009]"
8,"[1.0059878826141357, 1.005986692905426, 1.0058514757830688, 0.9604492530196604, 0.9311464293858017, 0.9406251461277104, 0.8232332824697398, 0.7696918039249652, 0.7209606841071086, 0.6875997990053712, 0.947241753640801, 0.6718767511705407, 0.6684796717100673, 0.6596111112893229, 0.650142046104778, 0.6576979220936997, 0.6477805844069732, 0.6471852173091788, 0.6395683101888257, 0.629022599095949]","[1.0059880018234253, 1.0059455645927275, 1.0049537692166337, 0.9791490979176579, 0.9754020894296241, 0.9738481020566189, 0.897050186124715, 0.8373395969319826, 0.844042075402809, 0.9231681025208849, 0.7674543839271623, 0.7892331659071373, 0.7530768786747046, 0.6902266030043664, 0.6910817944883096, 0.6759065239266916, 0.6560736313296689, 0.6434750628742305, 0.624768577355026, 0.6209948315012335]","[1.0059878826141357, 1.0059326977440806, 0.9170753758904909, 1.0056913109018346, 0.940545312696033, 0.8620518755611747, 0.9979268565081587, 0.8440983193811744, 0.8770556262316126, 0.8359163553726794, 0.7524941297161458, 0.7890943407590943, 0.7397885349693925, 0.7081611317787507, 0.6942489028097403, 0.6844478720366353, 0.6824132312924573, 0.6667924601501889, 0.6727413565146201, 0.6669723674338875]","[1.0059880130218737, 1.0059712788071296, 1.0056533228748976, 0.9713795928401177, 0.7494282235611569, 0.918816445620373, 0.936022667951054, 0.8477224502358773, 0.7895573541612336, 0.7300849216228181, 0.9168288873181198, 0.7436188651433195, 0.6904494126156123, 0.6761311987629443, 0.6842791167307983, 0.6518085854447851, 0.66434718145114, 0.6516439616966128, 0.6521322239634365, 0.6460857297525261]","[1.0059880018234253, 1.005956115433664, 1.0059878826141357, 1.003880969177593, 0.9276208476345948, 0.9307370250634472, 0.9459493722879525, 0.8594767289902224, 0.795232996189534, 0.7682601730359925, 0.970023390819328, 0.7794289783742091, 0.7511942885515064, 0.7184287702284679, 0.7033880007974427, 0.7029611978100406, 0.6729678292346724, 0.688519891060964, 0.6495749829378393, 0.6651653086326339]"
9,"[1.0059880018234253, 1.0059614938678163, 1.0054472509538284, 0.9967280147653638, 0.9959449723874679, 0.9274894881489301, 0.9623464223110314, 0.9061081603380164, 0.8855201363443124, 0.8317861901795623, 0.7717717787382579, 0.7962159655333468, 0.7451938915057014, 0.7459985895710762, 0.7274745825760894, 0.7254645025383945, 0.6950602557472508, 0.6797803967227839, 0.6960586795797854, 0.679686005222376]","[1.0059881210327148, 1.0059878199028247, 1.0059626690546672, 0.9952592766646183, 0.8087048911747307, 0.9287761632902454, 0.8927232092197496, 0.882846710850494, 0.8079944938090112, 0.9877500006707027, 0.7233925441494494, 0.758082663824763, 0.7051658950091312, 0.6923268530450084, 0.673993715780853, 0.680154335841988, 0.6535305404602879, 0.6476954862114155, 0.6289185685024719, 0.6342375871870253]","[1.0059880018234253, 1.0059878923917058, 1.0059878938125841, 1.0052615682524864, 0.9684677765706573, 0.8697453763629451, 0.999944495004837, 0.7823951037634502, 0.769142606398373, 0.8949296641741136, 0.7433788124870773, 0.7837493774219595, 0.7193066050247713, 0.6915765304577471, 0.6881893141793483, 0.6949765524855166, 0.6730552372486904, 0.6586575585167216, 0.645524478961121, 0.6434883208783588]","[1.0059880018234253, 1.0059859066298513, 0.8879029703652016, 1.005971159284765, 1.0057619775425304, 0.9202083206146654, 0.9499009674366075, 0.9018510515641684, 0.9739042541776041, 0.792497247141419, 0.741697094285428, 0.7658565663809728, 0.7199143590288933, 0.718767204706115, 0.6773504698291571, 0.6951659573719959, 0.6589486817624232, 0.6417390545615644, 0.6552806374536018, 0.6249067663574459]","[1.0059880577434193, 1.0059829890607583, 1.004011935236478, 1.0058784263061755, 0.9806851757957478, 0.9171471860342556, 0.9530099592847053, 0.8736207346633227, 0.9434966709216436, 0.8083920732968384, 0.8628300296447494, 0.8311625482939711, 0.7584611259483629, 0.7090763278019548, 0.700265585235273, 0.6801105590616212, 0.6845640561105025, 0.6737215688478465, 0.6588776608955379, 0.6588309303181942]"
