,Worker 0,Worker 1,Worker 2,Worker 3,Worker 4
0,"[1.0059880018234253, 1.0059853836502692, 1.0059878340634432, 0.9774360639323489, 1.0056033208153465, 0.8236673033147147, 0.9834300686253442, 0.84724778704571, 0.7578905529506279, 0.8216793092423015, 0.993675718144937, 0.7984268241338055, 0.7186975636099926, 0.7203527510075858, 0.6705975269443459, 0.6833363875626314, 0.6750257850912484, 0.6778632789218064, 0.6687920423348744, 0.6756616082938031]","[1.0059878826141357, 1.0059878826141357, 0.9637249542125548, 1.0059699629292345, 0.9833748618460665, 0.9567613523957705, 0.8897987439445775, 0.9548408744913159, 0.8113082251411797, 0.9698046458489967, 0.6911547383575728, 0.7231776990297467, 0.666199001806854, 0.6622874400516351, 0.6232819336878531, 0.6514516899757313, 0.6066223710820531, 0.5981337672336535, 0.5991745210009994, 0.6055992530135795]","[1.0059880018234253, 1.0059881143858938, 0.9921943752332167, 1.0001079349204747, 0.9999843651236909, 0.9873332004354458, 0.7922629031704532, 0.907735446968464, 0.6803426576699272, 0.8349758237208983, 0.7153615258468522, 0.8890503635249957, 0.6854905781616466, 0.6645476209289498, 0.65310600821418, 0.658821866363287, 0.6452434353169166, 0.6418234672555417, 0.6383044632456519, 0.6331526863289]","[1.0059880018234253, 1.0059877634048462, 1.002944608156127, 0.7965594447923429, 1.0050649668471983, 0.903615274122267, 0.9192190933347952, 0.9131938823575926, 0.8201344242842511, 0.9128929971625106, 0.8889820686584772, 0.845428684251477, 0.7975443310900168, 0.7550464989380403, 0.7368040570481257, 0.7145794151377196, 0.7076644801807525, 0.714751926097605, 0.686073718269666, 0.6752523453639011]","[1.0059880018234253, 1.0043509435172033, 1.0059857816407174, 0.999319130700044, 0.9225444371908, 0.891009816996979, 0.8970791038118228, 0.8988907025618986, 0.9830900870429145, 0.8791345148029351, 0.7437112787380965, 0.7889633279782955, 0.7339344335791439, 0.7123368577132322, 0.7373063336207409, 0.699547933603477, 0.731675430552827, 0.6844239754071741, 0.683422764578853, 0.6929361501065168]"
1,"[1.0059880514096733, 1.0059875679016113, 0.9472533465154244, 1.0027140737242168, 0.9895071864730179, 0.930315366959331, 0.8467261598537666, 0.7594867281660889, 0.8059468937070683, 1.0055286091024225, 0.9255558179665093, 0.7615501275899434, 0.7570952634106983, 0.7455046030457574, 0.6950814381828814, 0.7060919502061425, 0.6820488764721938, 0.6641170419391358, 0.6763437878317905, 0.6514615042206615]","[1.0059881210327148, 1.0059373647516423, 1.00598774989446, 1.004838938508371, 0.9762274804861859, 0.9210468160744869, 0.8888106264369656, 1.0004577680549236, 0.7596884844143583, 0.9200140171069088, 0.8455440093019996, 0.8058241442222186, 0.7610136093500287, 0.7351472848563483, 0.708537101041187, 0.7122425518990165, 0.7168182521968177, 0.689680813039192, 0.692847977820972, 0.6899210623779682]","[1.0059880018234253, 1.0059876441955566, 1.0050656120704882, 0.8374149107993251, 1.0042214622160401, 0.9575516456245172, 0.9157032581501537, 0.7645668027692973, 0.8488108787994192, 0.7474792434335357, 0.6907646486599638, 0.6935105383335942, 0.6474117487187337, 0.6344752145475812, 0.6241308007216213, 0.6372972921154114, 0.6260193031002776, 0.6295749346896855, 0.6104399852665385, 0.6238742303682698]","[1.0059880018234253, 1.0059852949537411, 1.0004940852492747, 1.0049671936035156, 0.940222390257951, 0.994035887272671, 1.0030262553812277, 0.9527588323932705, 0.9144075278320698, 0.8520194749187942, 0.7107299203395543, 0.7764012019321171, 0.7062107849437179, 0.7145594672783456, 0.6718439706181637, 0.6843902680021946, 0.6709935367017081, 0.6503798432873957, 0.6255842763065088, 0.6576081727415022]","[1.0059880246056452, 1.0059881210327148, 1.0004780695895956, 1.0022972560651375, 0.953082521262795, 0.980662254323863, 0.9890164237311392, 0.827532108990532, 0.7112415638219829, 0.7824834964296432, 0.9240601436537925, 0.7511545931570458, 0.6984135098499481, 0.6789786586203057, 0.6470795058045122, 0.6614117608708565, 0.6352340304866584, 0.6373028774461662, 0.6319967195481965, 0.6252232588707196]"
2,"[1.0059880018234253, 1.0059872278541024, 0.9982028460743452, 0.896910279266762, 1.0050053515097108, 0.9172726112423522, 0.9446723682169963, 0.8986382638023357, 0.8969975218809012, 0.7866456472339353, 0.9081360938151678, 0.8543449787810595, 0.7067718212434438, 0.6973070767740107, 0.6619360462335324, 0.6755940884923695, 0.6292538443945273, 0.6264512610074245, 0.6129847134408927, 0.6057549049471966]","[1.0059880018234253, 1.0059878826141357, 0.9998622857922256, 1.0040482186066984, 0.8130344980925021, 0.9679850151261898, 0.9901654381463022, 0.9796046807790043, 0.8754694089684824, 0.8495055146951868, 0.7638753223750326, 0.7815720893563044, 0.7344344197454477, 0.7328967304723432, 0.6962208302288947, 0.7195741803944111, 0.6808778700247557, 0.6709096064170201, 0.6646005321557473, 0.6729039285083612]","[1.0059880018234253, 1.005632823308309, 0.9117283270214543, 1.0059876569112143, 0.9816654688782163, 0.8203127901391549, 0.8106762553375176, 0.7316281160396156, 1.0029671720904534, 0.6386179577190466, 0.6834179492415202, 0.9730839670065677, 0.6373036518843487, 0.6354387604272125, 0.6337482821158689, 0.6330453102561561, 0.6352120414045122, 0.6395139124312184, 0.6271081639480109, 0.6259222168061468]","[1.0059880018234253, 1.0059878104383295, 1.0056452273840857, 1.0049724024474018, 0.8628111110401876, 0.8760345329043239, 0.986135887521686, 0.7831056785297514, 0.859402721159988, 0.7288211520633312, 0.6984795641236835, 0.7222939210949522, 0.6571254412393377, 0.6436040163973366, 0.628681778406555, 0.6636864039512596, 0.60560895616659, 0.598947935229299, 0.5710876383143242, 0.5795024058087306]","[1.0059880018234253, 1.005974261736629, 1.0044068598145186, 1.0058377618259853, 0.8583840486347073, 0.9083427711538594, 0.8701235829549606, 0.8279824714588396, 0.7828535185528523, 0.7446531932748327, 0.8538306956790914, 0.8072890282806122, 0.6784590359002051, 0.6715580328576493, 0.6585582045593648, 0.6900639968929869, 0.6492803999841815, 0.6421310538806096, 0.6331597878972087, 0.638081882767605]"
3,"[1.0059880018234253, 1.0059876015692046, 1.0039363603640084, 1.0059878826141357, 0.987584175341057, 0.9837722726783367, 0.9319006993132408, 0.8752012159998971, 0.9874842605085083, 0.7416670735383576, 0.9842871496472696, 0.7768360881582655, 0.6980731187324332, 0.6804811458154159, 0.6726983382251829, 0.6632155418110014, 0.6703126535000223, 0.6494112587020253, 0.6496808527108997, 0.6379199376070138]","[1.0059880018234253, 1.0059807565958814, 1.0005730255204017, 1.0058245871042963, 0.7991268090903759, 0.9121851523837657, 0.9389871339605312, 0.9183601460673593, 0.7912521183581063, 0.9030025487024375, 0.9794039321608013, 0.8253345551033213, 0.7363282486977, 0.7273639239024634, 0.6841561390971295, 0.6957658121561763, 0.6480303476103628, 0.6299102859740907, 0.6318779553969701, 0.6332177211901154]","[1.0059880018234253, 0.947668085604003, 1.0059875393154645, 1.0044427558267959, 0.8970482161490604, 0.825671181823268, 0.9056400472347182, 0.8901273233240301, 0.7709385891785525, 0.8546409177840358, 0.8739794098939558, 0.8140955115719275, 0.7370959141654799, 0.7221544805635708, 0.6889840690084178, 0.6576211003914024, 0.6523191972904735, 0.6599563775204047, 0.6394307070233003, 0.6414233328552559]","[1.0059880018234253, 1.0058993963039282, 1.003908995727096, 1.0059878986532038, 0.8860659558544255, 0.9162147914219384, 0.982152734248325, 0.9164025774688431, 0.899654143476727, 0.6897728862018898, 0.8228139115185148, 0.7123294496656668, 0.6719799488993606, 0.6852808522515826, 0.7057746128150911, 0.671008593513809, 0.6631653099755446, 0.6736507168592829, 0.652110638759955, 0.6639504227267974]","[1.0059880018234253, 1.0059854875188885, 0.9989704128588088, 1.0007881091219006, 0.8403035006709774, 0.8317977143748843, 0.757405748981418, 0.752627954337031, 0.8620799787026463, 0.7605061540037694, 0.988819898222432, 0.7703127842419075, 0.7488216766353809, 0.7361821597889818, 0.7037746296853128, 0.7301419820508571, 0.7097633383370409, 0.7025064175026585, 0.6924130218318014, 0.6946834601461888]"
4,"[1.0059880769614018, 1.0059875865416092, 1.0059570878924746, 1.0051651191229771, 0.997723853666373, 0.8948854728449475, 0.995342665778266, 0.8792426039263456, 0.9569773550737988, 0.7209610488484002, 0.8316655444526914, 0.7837972734432028, 0.7197607385841283, 0.6788778364357322, 0.6702494957937737, 0.6621655787045907, 0.6501586074660523, 0.6485856056514413, 0.64691290526077, 0.6429190001328184]","[1.0059878826141357, 1.0059503204413134, 0.9944903177203555, 1.0022422321757885, 0.9042764261154214, 0.9216858968229005, 0.8804760514365302, 0.9589428926898975, 0.9056458984240137, 0.6528825877862747, 0.9276534634828567, 0.7217864564964266, 0.6285415812092598, 0.6006566471132365, 0.5775482702435869, 0.5949755083611518, 0.5762878428851114, 0.5860865055671846, 0.5878543062508106, 0.5774943514138159]","[1.0059881210327148, 1.0059880488569086, 0.9905696282603524, 0.9792945518036081, 0.9971019799239708, 0.8912583224580746, 0.9763334739449049, 0.9181823358752511, 0.9664863692269181, 0.8422052762725136, 0.7498116955733058, 0.7795141133094075, 0.7330422725581159, 0.6944219868035629, 0.6852508354969699, 0.6876230424838234, 0.6757324181692769, 0.6791702400072657, 0.6682619629363821, 0.6725399602874361]","[1.0059880018234253, 1.005987524986267, 1.0059882402420044, 1.0052756852573819, 0.8297499773478267, 0.8242815000210145, 0.8461184343665538, 0.7333724981802281, 0.9642907832848905, 0.9167891733393525, 0.6558087649023292, 0.6890789017472604, 0.6472405505601806, 0.6338662987661482, 0.6500571195495249, 0.6448260717891684, 0.6302967215577762, 0.6310928161013307, 0.6536257353274509, 0.6504914712213506]","[1.0059880018234253, 1.005979380607605, 1.005000683587007, 1.0057228963062017, 0.9077352251067307, 0.8718285220500195, 0.8909574611921504, 0.9946663768243308, 0.9094912942672017, 0.7099489414059754, 0.8493030047386584, 0.7525588231902532, 0.6590852092944011, 0.6759856959048546, 0.6444414268223324, 0.6233300194941988, 0.6302229530025613, 0.6176113132214306, 0.6154171500633462, 0.6254252261871641]"
5,"[1.0059880550702414, 1.0059635639190674, 1.005562172634433, 1.0017330475046178, 0.9650311212708251, 0.8708309574801513, 0.9586203421185715, 0.8655549309771471, 0.8467249585492442, 0.7037810764755263, 0.808036419597238, 0.7778776287912118, 0.6628386099907485, 0.626123247923273, 0.635376429308695, 0.6255772737481378, 0.651980538420906, 0.6459255375946411, 0.6717746868834953, 0.6512741131388178]","[1.0059880018234253, 1.005943989536979, 1.0043462740050422, 1.003191214378434, 0.9535557460363465, 0.8825526459951594, 0.8272545403904386, 0.9753425486400874, 0.8728192339822499, 0.8005359890274327, 0.7160745321921628, 0.7705429030021633, 0.6879537493607613, 0.6797055714600014, 0.6553722000453207, 0.6318503872839489, 0.6160754255122609, 0.6083341877975247, 0.5937621109022034, 0.6030899716702977]","[1.0059880018234253, 1.0059017072301923, 1.0058281767368316, 1.001207016152565, 0.8409276254971823, 0.983109610008471, 0.9168283390216153, 0.8120677288704449, 0.6522572813461526, 0.7462579392227862, 0.8901100353700946, 0.7042394206996518, 0.6345510308745533, 0.6198663208957272, 0.6155866947484137, 0.6018301654810255, 0.595327924068528, 0.6016961036592421, 0.607116783717365, 0.6041327547364764]","[1.0059880487124124, 1.0059877069068677, 1.0057459810526683, 0.9992140799459784, 0.8880952578120761, 0.8581067534347977, 0.8140921084221565, 0.9064552887100162, 0.7821250914398468, 0.7548235334847311, 0.9955416436990102, 0.765026598635948, 0.7336539715573643, 0.6645336675877221, 0.6635163645604343, 0.6485364800225003, 0.6457742675958258, 0.6233843576862956, 0.6129973296414722, 0.6173825301320264]","[1.0059878826141357, 1.0059878826141357, 0.9980451113948918, 1.0059876441955566, 0.9352450504868922, 0.8689945313665602, 1.0003583572127603, 0.7637664892215922, 0.7300964594534551, 0.9621450784290679, 0.6700387412452637, 0.6428175240950753, 0.628793446642883, 0.6162398800103351, 0.6126502307150701, 0.6090154815186756, 0.6172622239529485, 0.6120896167255411, 0.6223236387576719, 0.6257742183918905]"
6,"[1.0059880018234253, 1.005735400252872, 1.0026315229468876, 1.0033161649920723, 1.0002943270495444, 0.8355337602923615, 0.9326299095153808, 0.8032769689836887, 0.8879043951510179, 0.7688139812332211, 0.8052210077041327, 0.7996299846650976, 0.7535309107405971, 0.7296942564754775, 0.7140415534994217, 0.6855437166928643, 0.6947500871483123, 0.6806016927987638, 0.6707472752561473, 0.6705945113662517]","[1.0059880018234253, 1.0059832577994376, 1.00590379411524, 1.0057856522666084, 0.9967340303731688, 0.9316351763286976, 0.9699781454693187, 0.8010998356763762, 0.9927298704783122, 0.753922273373664, 0.7095084498882895, 0.7215322169962556, 0.6924444732085021, 0.6702244478148042, 0.6748992491340396, 0.6670055204178348, 0.6727270338616588, 0.6522925894338675, 0.6509731006607262, 0.6443572597416363]","[1.0059880018234253, 1.0059357404708862, 1.005305557828961, 1.0030625684815224, 0.895712005845224, 0.9917148708454286, 0.9418533994573536, 0.9078019219576711, 0.9600517380719233, 0.7509373052583801, 0.8553204808903463, 0.7792199746541905, 0.7052139546804957, 0.7137560052417143, 0.7028475403153535, 0.6838224271496739, 0.6817419185549622, 0.6464600086979794, 0.6572681548679717, 0.6535857712620436]","[1.0059880018234253, 1.005730946714228, 1.0059468030929566, 0.9947690648502774, 0.9988981302699658, 0.9406879792490391, 0.9526234128499272, 0.9404972147941589, 0.957392225391937, 0.8582468366893855, 0.7363196069408546, 0.7893664643093191, 0.7242047128216786, 0.7257779491324016, 0.7311700225975176, 0.7213055382954954, 0.7262041256900388, 0.6960189978748259, 0.7104877763128642, 0.7136788754752188]","[1.0059880018234253, 1.0059743881225587, 1.005987690386146, 0.9991816774522415, 0.934783185481122, 0.9556048564658021, 0.9413080950457641, 0.9293526241454211, 0.9261571049027972, 0.7379906682459393, 0.8791496302051978, 0.7552656557553946, 0.7232107224909946, 0.7032115411848733, 0.6852455985516008, 0.689242695264443, 0.690067889795761, 0.6795199976274462, 0.683258239228015, 0.6848815505733393]"
7,"[1.0059880018234253, 1.0059878826141357, 0.9974884439839257, 1.0046493065116382, 0.9887015990897863, 0.9957029168232523, 0.9497935176136518, 0.7627266402948987, 0.897223937053873, 0.815576886069594, 0.7832938869041626, 0.9951794110945981, 0.7248588690869134, 0.6867677074204189, 0.6736874172467776, 0.6806409843055287, 0.6598685346874926, 0.6535145167103319, 0.641436167035741, 0.6469312318406923]","[1.0059881210327148, 1.0059778360887008, 1.0030569265346334, 1.0059877634048462, 0.9366128864944583, 0.9358920839398799, 0.9958059041548257, 0.9620193638946071, 0.8899416853863783, 0.7424651600841922, 0.8318538033013994, 0.7712751778583936, 0.7189620929324265, 0.6979667949450739, 0.6849242267238371, 0.6830789985515252, 0.6432778086475651, 0.6539720778558591, 0.627398221453633, 0.6312527705232303]","[1.0059880018234253, 1.00598548412323, 0.8955931701322999, 0.9953603546968615, 0.9965600527296162, 0.985791284863395, 0.9267044083156971, 0.9670206617646747, 0.8073334005204114, 0.851902400772981, 0.7919392390383615, 0.8081704447696907, 0.8101146297623413, 0.7923894350411314, 0.7809309827333147, 0.7545745706392659, 0.714684959976661, 0.7063590417576558, 0.6915906389388773, 0.6495569360316402]","[1.0059879358609518, 1.0059876441955566, 0.9909660089497614, 1.0040773510692096, 0.9980243150363065, 0.8935207512402775, 0.9829871048108496, 0.9144311659143428, 0.9136558000367098, 0.912466528048419, 0.8000062439176772, 0.8362354783488043, 0.7752031493217054, 0.7420377677919888, 0.7248677413737533, 0.7088468645467902, 0.7093033487312119, 0.713138247650079, 0.691509831896936, 0.695384619187827]","[1.0059880018234253, 1.0059878826141357, 1.0059558959922406, 1.0056183127923446, 0.9425875923308459, 0.9694245733094938, 0.8797521179914475, 0.8812779968284598, 0.8787582709030671, 0.7535785245835179, 0.914596451755726, 0.8201773293301312, 0.7125572328134017, 0.6957032020292198, 0.6822799870356767, 0.6488752451207903, 0.6591844441478301, 0.6412720473035417, 0.6696107710265752, 0.6312271425699947]"
8,"[1.0059880018234253, 1.0059881272460476, 1.0058350641077216, 0.9941818043679902, 0.969586426606684, 0.9419493405566071, 0.8937501666551888, 0.9920893555337732, 0.7672692942995616, 0.8930571692730441, 0.8036531124271528, 0.934489008675922, 0.7504109491197147, 0.7290439683093567, 0.6942914156465217, 0.7024249198626388, 0.7059403179600985, 0.6921171189934918, 0.6898618343653101, 0.6870844200855554]","[1.0059880577434193, 1.0059878826141357, 1.0051100430584916, 1.0059010248714024, 0.8839867049395436, 0.8723401905250068, 0.8791644640342153, 0.8913636835958019, 0.8416010212567118, 0.8470809084598464, 0.801901919381185, 0.8160130131666107, 0.7412095482481851, 0.7085576111108366, 0.6626873952346016, 0.6784115645169008, 0.6488494637247287, 0.6378490334132103, 0.6150740678503056, 0.6306460678938663]","[1.0059880018234253, 1.0059875308383595, 1.0053980398418927, 0.9991091255587761, 0.9330640781708438, 0.9447901672064656, 0.9596451132947749, 0.8767844057564783, 0.8487295573889607, 0.8368556643947206, 0.7714257714212542, 0.7738304425881366, 0.749013503442208, 0.7269990765897915, 0.7111141738205246, 0.7037147192679571, 0.6818785904513465, 0.6869531747804145, 0.6637664230559209, 0.6630946999585087]","[1.0059880018234253, 1.0059878826141357, 1.0052644215087698, 0.9912765828647999, 0.9817875386338041, 0.9706940544374061, 0.9870756586874374, 0.8934197878175312, 0.951661680924772, 0.7722588824488298, 0.9819441537604188, 0.8232231282525593, 0.7636972819915926, 0.7315768023045978, 0.7084909878460446, 0.7213801695677368, 0.706445315567532, 0.6849980752094827, 0.691495265266811, 0.6781480873684691]","[1.0059880018234253, 1.00598714539499, 1.0059878166516623, 0.9937812726907056, 0.8745767421493627, 0.8838456717585073, 0.8993170875310897, 0.7507781589874113, 0.947680431941543, 0.7406258157588015, 0.9879132003976842, 0.756709938458722, 0.7215472757199196, 0.7473707974724697, 0.7329347032218269, 0.7148603523665606, 0.6832132280971667, 0.6798763648059332, 0.6467942830047222, 0.6586605990497452]"
9,"[1.0059878826141357, 1.005972753173173, 0.9395603149828284, 1.0059646339609165, 0.946358469077433, 0.8942823461992572, 0.8003605502271893, 0.8511538868209328, 0.7982312509869084, 0.7946194722375485, 0.7853289018195085, 0.7930474410123295, 0.770587597561605, 0.7705400374351126, 0.7451062482971735, 0.7261952610073066, 0.7220353592841914, 0.6966281636360317, 0.6889831705030167, 0.6494761610467626]","[1.0059880018234253, 1.005875260950339, 1.0058891570929325, 1.0008306202141926, 0.9788228981904309, 0.9006275365749995, 0.9884840924390639, 0.9523683040972912, 0.9020486649238701, 0.9290613969061712, 0.7615818887166302, 0.8135261674842449, 0.7283251985621573, 0.7147936359619853, 0.7299707049658202, 0.7222677270255305, 0.7080807052251666, 0.6902310302627809, 0.6918876939033619, 0.7201149259176519]","[1.0059880018234253, 1.0059878826141357, 1.0058776487003673, 0.9020579617703803, 1.0028977367853877, 0.9073390862345696, 0.882418910848974, 0.7692290745239065, 0.9276659476154983, 0.8512079679213389, 0.7690288766782091, 0.9029202324558389, 0.740666945044591, 0.7261061682213437, 0.732120427868583, 0.7185562457415191, 0.6981465297756773, 0.6775353893893535, 0.6627957299381796, 0.6845115536376082]","[1.0059881210327148, 1.005802123498435, 0.9451571971719915, 0.9814194964880895, 0.9436589940208377, 0.918280222325614, 1.0035368847124504, 0.9343782717260447, 0.7934628969641647, 0.7375961825657975, 0.7567530859826189, 0.7557261274273347, 0.6895799896226387, 0.670568166938093, 0.6647596816447648, 0.6649031108151181, 0.6415929080711471, 0.6381577289239927, 0.6333955792616112, 0.636411336946367]","[1.0059880018234253, 1.0059875361365502, 1.0059882242029363, 1.003268180471478, 0.9301503444500644, 0.9352246097723643, 0.9960189284459509, 0.8938186120565491, 0.786701657895488, 0.9681602648352132, 0.6904481733048504, 0.6970758458016195, 0.6701430873362103, 0.6670117580348796, 0.6529215634516393, 0.663389947950238, 0.6627544198493764, 0.6668813327240823, 0.6606144539695797, 0.6439620825256964]"
