,time,cluster,nino12,nino3,nino34,nino4,canonical,EMI,C_index_takahashi,E_index_takahashi
0,1905-01-01,6,0.16557474,0.96646243,0.95638067,0.5076621,0.95994073,0.33295912,0.84646815,-0.088256314
1,1905-02-01,6,0.3438747,0.5282464,0.6000279,0.15434054,0.5017191,0.22997135,0.22799146,0.26670444
2,1905-03-01,5,0.2210482,0.12977283,0.49726614,0.2311794,0.043580882,0.5264182,0.37090015,0.105458505
3,1905-04-01,6,0.54252106,0.24448495,0.3177932,0.19006503,0.23214725,-0.0028350092,0.26885843,0.44748855
4,1905-05-01,7,1.5389906,1.4255937,1.0970777,0.3574498,1.4815075,-0.10587789,0.45376563,1.3602657
5,1905-06-01,7,1.5364206,1.2649924,0.9197272,0.38686478,1.3601748,-0.22043674,0.5040281,1.3429883
6,1905-07-01,7,1.0256554,1.0679926,0.9089885,0.29633027,1.1137543,0.028889373,0.40119594,0.8774903
7,1905-08-01,7,1.4126071,1.1399761,1.0280569,0.21197447,1.1755689,0.118727624,0.21909589,1.3066199
8,1905-09-01,7,0.9207788,0.9653163,0.7535207,0.32137087,1.0175394,0.004859984,0.45425263,0.7600934
9,1905-10-01,7,0.87953603,1.1745827,1.0182756,0.49589545,1.226892,0.027200788,0.75506866,0.63158834
10,1905-11-01,7,1.5469141,0.9574608,0.7935134,0.51311326,1.0055983,-0.060804367,0.7176012,1.2903575
11,1905-12-01,6,0.37922847,0.99145514,1.184314,0.70543206,0.94385767,0.27158013,1.1613116,0.026512444
12,1906-01-01,7,0.5972173,1.1708362,0.89834195,0.24395236,1.2330536,-0.06674953,0.35499728,0.47524112
13,1906-02-01,6,0.56985784,0.6611201,0.48066315,0.16057041,0.7016975,-0.030013487,0.21598394,0.48957264
14,1906-03-01,6,0.4745094,0.31200203,0.36648268,0.19304724,0.29563984,0.12908995,0.28072938,0.37798578
15,1906-04-01,5,-0.8561616,0.12216667,0.31068632,0.13844308,0.09891963,0.3644951,0.3209694,-0.92538315
16,1906-05-01,5,-0.41089714,-0.26572672,-0.15472017,-0.023494404,-0.30119658,0.2727009,0.001149226,-0.39914992
17,1906-06-01,2,-0.780832,-0.7568262,-0.30618474,-0.030156072,-0.865034,0.28245267,0.026817877,-0.765754
18,1906-07-01,2,-1.0564809,-0.5597421,-0.25582546,-0.111351155,-0.63386536,0.18255456,-0.08364888,-1.0008053
19,1906-08-01,2,-0.5192904,-0.48545185,-0.27480918,-0.0651956,-0.5365802,0.016875312,-0.05890348,-0.48669258
20,1906-09-01,2,-0.4335124,-0.59318095,-0.29489592,-0.16294353,-0.6627118,0.044886664,-0.23365277,-0.35204062
21,1906-10-01,2,-0.24443963,-0.71299785,-0.37263447,-0.104029454,-0.79450625,-0.045005217,-0.15240611,-0.19242491
22,1906-11-01,2,-0.9196646,-0.6837358,0.017999277,0.08252025,-0.8650273,0.600783,0.23225088,-0.96092474
23,1906-12-01,5,-0.93783224,-0.07840701,0.21266298,0.19748273,-0.15331164,0.38586646,0.4295039,-1.0365736
24,1907-01-01,2,-0.39917496,-0.48379683,-0.3666835,-0.10319183,-0.5053074,0.043205477,-0.13550861,-0.34757903
25,1907-02-01,2,0.048189044,-0.71648353,-0.7618355,-0.17824818,-0.7085947,-0.2712243,-0.30784082,0.13731313
26,1907-03-01,2,-0.5051034,-0.4791886,-0.41674232,-0.040679216,-0.48438844,-0.03182748,-0.01864433,-0.4847638
27,1907-04-01,5,-0.011927541,-0.21442498,-0.17068827,-0.17856728,-0.21858737,-0.038748443,-0.30237162,0.0773561
28,1907-05-01,2,-1.0699726,-0.42932034,-0.32077646,-0.1540372,-0.4510048,0.20671394,-0.154866,-0.992954
29,1907-06-01,5,-1.0892491,0.17279391,0.21156514,0.09090241,0.13841489,0.10306609,0.26345903,-1.1347003
30,1907-07-01,5,-0.2000945,0.40313601,0.32420745,0.210906,0.4115015,-0.060206756,0.37854967,-0.3055475
31,1907-08-01,5,0.3632725,0.19379687,0.19294685,0.21043837,0.18679145,0.098246224,0.321418,0.2580533
32,1907-09-01,5,-0.098779775,0.22022343,0.39536732,0.25754818,0.1487717,0.44467938,0.44770992,-0.22755387
33,1907-10-01,5,-0.75143915,-0.22025593,0.21907768,0.28837436,-0.32492447,0.50847554,0.56538033,-0.8956263
34,1907-11-01,5,-0.4483235,0.13172545,0.09520943,0.24364397,0.15987067,0.06815508,0.4590271,-0.5701455
35,1907-12-01,5,-0.8667326,0.08104715,-0.082696475,0.33731088,0.12506598,0.108848915,0.6601018,-1.035388
36,1908-01-01,5,-0.27955803,-0.03246357,0.018955756,0.22544923,-0.049707305,0.107157364,0.4112195,-0.39228266
37,1908-02-01,5,-0.66025805,0.026106745,0.49582976,1.0091879,-0.061502807,0.72119915,1.7816454,-1.164852
38,1908-03-01,2,-1.4197061,-0.26994732,-0.31254032,-0.3259738,-0.2307693,-0.13511205,-0.41218483,-1.2567192
39,1908-04-01,2,-1.4671311,-0.24031739,-0.2790913,0.0040380536,-0.21561399,0.03572938,0.15357782,-1.4691502
40,1908-05-01,2,-0.9408902,-0.35487494,-0.22457628,0.027602026,-0.37616032,-0.0006556213,0.14101247,-0.95469123
41,1908-06-01,4,-0.1540463,-0.16987705,-0.28619716,-0.23350756,-0.14476912,-0.23316073,-0.3815582,-0.037292518
42,1908-07-01,2,-0.45339435,-0.27032447,-0.037060272,-0.05262481,-0.31672215,0.091613,-0.044122748,-0.42708194
43,1908-08-01,2,-0.4544514,-0.24262784,-0.105445325,-0.08788615,-0.27906424,0.2566491,-0.103961304,-0.41050833
44,1908-09-01,2,-0.2618091,-0.26863793,-0.073327325,-0.1781602,-0.3115807,0.036466755,-0.27669144,-0.17272902
45,1908-10-01,3,-0.17798245,-0.69611233,-0.6375483,-0.60257447,-0.72642285,-0.19028781,-1.0065784,0.123304784
46,1908-11-01,3,0.035228945,-0.5440355,-0.5696002,-0.76082397,-0.56534207,-0.38967174,-1.2969236,0.41564092
47,1908-12-01,3,-0.019342437,-0.7304953,-0.7692059,-0.5284443,-0.73551124,-0.32203978,-0.8964211,0.24487971
48,1909-01-01,3,-1.0153035,-0.7603033,-0.82551706,-0.32341832,-0.7580007,-0.18572843,-0.44828084,-0.8535943
49,1909-02-01,2,-1.8860111,-0.6809253,-0.17876601,0.07546814,-0.7947113,0.5542165,0.31689698,-1.9237452
50,1909-03-01,3,-0.89253277,-0.27535257,-0.31526932,-0.29562223,-0.2577243,0.09295969,-0.41330454,-0.74472165
51,1909-04-01,2,-1.2147076,-0.688832,-0.40929967,-0.10223298,-0.7259635,0.3095011,-0.05232531,-1.1635911
