,Worker 0,Worker 1,Worker 2,Worker 3,Worker 4
0,"[1.0059880018234253, 1.0059523390760325, 1.0059880018234253, 0.9993917249910759, 0.8312382007999853, 0.9588795682336345, 0.9795991933767242, 0.9399342894554138, 0.7762596060862444, 0.7634303635479224, 0.7910429719120565, 0.7867092748573332, 0.7310318981908789, 0.7012656721277069, 0.677885901255138, 0.6551383430804267, 0.6460019634393128, 0.6401342440539538, 0.6353774617537103, 0.6454534868308992]","[1.0059880018234253, 1.0059880018234253, 0.9944951817965266, 1.0050518826523211, 0.9204403099101601, 0.83653083805484, 0.9545686327568208, 0.6842170405824377, 0.8526822892794705, 0.8161031076342169, 0.7284451283333879, 0.7037870237050634, 0.6589431957087734, 0.6687197322104916, 0.6695666159839944, 0.6617238809559682, 0.6563607477133322, 0.6523348696665331, 0.6392289994310851, 0.6397352017582667]","[1.0059879757900432, 1.0059752026952877, 1.0059880018234253, 0.9977301487296518, 0.9656383012491043, 0.9940543530324493, 0.8775443736591725, 0.8875261740010194, 0.962398291735938, 0.7879261147253441, 0.7527949653129385, 0.7018031124951262, 0.7040332784413388, 0.6727535352720456, 0.6852942956532493, 0.6734039431178208, 0.6718664725064629, 0.6542675729999037, 0.6612087677464341, 0.6671550276122912]","[1.0059880018234253, 1.0059823729052688, 1.0056735277175903, 0.9953219727915947, 0.8564008316006323, 0.952995161823552, 0.8715934469151978, 0.7245223463529891, 0.8480009858114551, 0.7091335356431177, 0.7264541066942191, 0.6998803057935503, 0.7013915918601884, 0.725411114701719, 0.6981707110654826, 0.6743175185539506, 0.6737814293079304, 0.652849267055892, 0.6741101599642725, 0.6618218307483076]","[1.0059879562830685, 1.0059880018234253, 1.0013086862034268, 0.9961266850461864, 0.8575004416041904, 0.8965846214962728, 0.9606614465123475, 0.9882348592775037, 0.765563993907035, 0.9282994236368122, 0.7923119422703079, 0.8414816154283706, 0.7475106861359543, 0.7505860699096112, 0.7277414491230791, 0.6889254481006752, 0.7167517311389399, 0.6850596873973958, 0.662991080457213, 0.6475786497315975]"
1,"[1.0059880018234253, 1.0053762196290372, 1.000819963409443, 1.0057122777447556, 0.9715362120096129, 0.9922051413372309, 0.8149321696794394, 0.7920106212538902, 0.8501082552262027, 0.9720531737804413, 0.7454443818135092, 0.724925990980683, 0.7312238562844618, 0.6951201835146757, 0.691728777221658, 0.6777884873446792, 0.6792498137267551, 0.655677670570034, 0.6419679168890221, 0.6434207494511749]","[1.0059880018234253, 1.005947001919602, 0.8646528277945037, 1.003480792069676, 0.9657135751331696, 0.8608827959076323, 0.9785709025402262, 0.819288004847488, 0.8693728874187276, 0.7612675623430146, 0.6985460557600465, 0.7467056024345484, 0.7106130475438003, 0.6897625350560804, 0.6486104159192605, 0.6256275647261528, 0.6698654664390616, 0.602328157004985, 0.586139479377354, 0.5969911069475641]","[1.0059878826141357, 1.0059880018234253, 1.0059880018234253, 1.0034037219635163, 0.943987078594439, 0.9446660446398186, 0.9024051146796256, 0.8894839989296114, 0.7829310476539111, 0.8098743053578367, 0.7497067569452103, 0.7177434730875973, 0.6868200791815314, 0.6770100079341368, 0.6520594144138423, 0.6465615528219878, 0.6459290654791726, 0.6462864002600462, 0.6301516673375259, 0.6381791146189878]","[1.0059880018234253, 1.0057906597310846, 1.005921585559845, 0.9927848814352594, 0.9460190327781619, 0.9384248246749242, 0.8990503088512806, 0.8491007916885193, 0.8976866238827658, 0.8787171539393338, 0.8137816447952781, 0.7429224655784742, 0.6878284716229848, 0.6508437635200193, 0.6227575314677123, 0.639526800194172, 0.6086335246927208, 0.603415062385376, 0.5885362949410472, 0.5955216390278303]","[1.0059880018234253, 1.0059367703909825, 1.0059736002575268, 1.0031233940100428, 0.8611437749140191, 0.8885586593337733, 0.9326598559304922, 0.8320687282506866, 0.848260617960583, 0.776530719452133, 0.728442426784472, 0.7730032679890141, 0.7273741267892447, 0.7267461117635472, 0.7148107404961731, 0.7012184562285741, 0.7051812157366011, 0.6761423655305848, 0.663749478152304, 0.6545838896403409]"
2,"[1.0059880018234253, 1.0059491249527595, 1.0008238856118135, 1.0002639380970386, 0.9418158872320195, 0.844245253265506, 0.9092455499822443, 0.9430616180523478, 0.7879751961745999, 0.8369549824192066, 0.9658512367022158, 0.9065804837869875, 0.7700213649778656, 0.7516726461745272, 0.7438475983040501, 0.7094232305568277, 0.7086376668076323, 0.6966203658613894, 0.6986809920150824, 0.6813256923432904]","[1.0059881210327148, 1.0057152395537405, 1.0033579387327638, 0.9840910893257219, 0.8886375691132112, 0.9055753082157385, 0.8879321126955928, 0.8009976418572243, 0.9369411930351547, 0.8577631905358849, 0.7440893725990647, 0.7231490648966847, 0.7104954074684418, 0.6984257330617519, 0.6923382478997563, 0.6794711324467202, 0.6732805227044255, 0.6738971972044068, 0.6771981753574478, 0.6654799392849508]","[1.0059878826141357, 1.0059880018234253, 1.0019053123214028, 0.9602143872807725, 0.9496565097600522, 0.8968444156767142, 0.9261133081563796, 0.8724486083695383, 0.9499576865181778, 0.9125132652244182, 0.8334265029008943, 0.8036474737103539, 0.755469636474595, 0.7289468988836414, 0.7028421672170211, 0.7125100659458625, 0.6815433757548982, 0.6815054128040569, 0.6531031964057021, 0.6427086380364919]","[1.0059880642939096, 1.0059880018234253, 1.0059880018234253, 1.005738868087229, 0.7673171664398126, 0.8970137620754917, 0.9903296574859908, 0.9058629064668309, 0.8587240539867469, 0.9779409822249653, 0.834371856706913, 0.7635922119503069, 0.7514999502746745, 0.7113478851017326, 0.7279675546845402, 0.732380527649263, 0.7058783594315702, 0.6945821057636329, 0.6996973792772101, 0.6974883981515663]","[1.0059880018234253, 1.0059880018234253, 1.0040017488990167, 0.9403487191718034, 0.9097637573546834, 0.9003037775428308, 1.0026362272464868, 0.8979800925832806, 0.7906032450090755, 0.791648781155095, 0.7698847306978823, 0.752096253972162, 0.7054742318166025, 0.7042706464998649, 0.650758502278665, 0.6998730295685807, 0.661180726727753, 0.6467825790351689, 0.6331485842318848, 0.6321635021495097]"
3,"[1.0059880018234253, 1.0059880018234253, 1.0002259627255528, 0.9982735421320404, 0.8446445503319153, 0.9413954849164895, 0.9453543200516942, 0.9130332373790067, 0.8451767018888936, 0.8747561220328013, 0.7906215000152588, 0.7448115605868474, 0.6989865887044656, 0.6847785710904635, 0.6514832764577986, 0.6344313216525497, 0.6098401856768613, 0.6094312906310414, 0.6214723710700719, 0.5960768687454137]","[1.0059881210327148, 1.005977382443168, 0.9936995227529545, 1.001923566490713, 0.947654010502979, 0.895648130362082, 0.932269271106431, 0.7585691003757293, 0.9699963965078797, 0.8155302842157056, 0.7037499533096949, 0.7323945073979069, 0.6909355200480933, 0.6701247637590977, 0.6653682313317603, 0.6612143369666253, 0.6582511063778039, 0.6411551196587206, 0.6280812347657753, 0.6118298354082637]","[1.0059880018234253, 1.0059880018234253, 0.9956012637687451, 0.8606169426561606, 1.0055863710846564, 0.9355681328460423, 0.9316145457161797, 0.8601211091665306, 0.8613679161697927, 0.8571772895768436, 0.7999122664031356, 0.7665411146511936, 0.7337425178951688, 0.7247562015854349, 0.6984146196929494, 0.6967840565033633, 0.6826788870869863, 0.6585460312860181, 0.6455088704719086, 0.6549542590042557]","[1.0059880018234253, 1.0059880018234253, 1.0059880018234253, 0.7685011065661004, 0.9238396627734405, 0.9437039004793071, 0.9307528905856489, 0.8663920467790931, 0.8399446954691049, 0.8697164697177482, 0.7529309774649263, 0.8115117492970794, 0.7272928267009933, 0.7098475524662721, 0.6639117540012707, 0.6887858249743779, 0.6537623588620413, 0.6549538339689525, 0.6394347329964541, 0.6555863120143461]","[1.0059880018234253, 1.0059880018234253, 1.0059087270197242, 0.9685935960153137, 0.9814960005187024, 0.8773823063662558, 0.7556748612511037, 0.9752218729799444, 0.6725195108685229, 0.9019606393816495, 0.731481064932816, 0.7051294134150852, 0.6619477488687544, 0.6720033391437146, 0.6680085304545031, 0.6595257157960324, 0.6408317592935731, 0.6499914209123212, 0.6132304798202081, 0.6393935003334825]"
4,"[1.0059880018234253, 1.0059471409248584, 1.0046165777938534, 0.8154233525136505, 0.9099559898569126, 0.9214800571070777, 0.9154742870005694, 0.8479267837302853, 0.9293340686114148, 0.7785984366274241, 1.0032491158596193, 0.7651485189238582, 0.743723399032547, 0.7237984487549826, 0.7196527511603904, 0.7051544004994812, 0.7033813272627315, 0.7096911139229332, 0.7024427038039824, 0.6857022865252062]","[1.0059880018234253, 1.00594349663667, 0.9796853645010428, 1.0059880018234253, 1.0020173848518217, 0.8767150979406304, 0.9942997889326076, 0.7524610316316889, 0.9172241999043359, 0.7194956866418473, 0.6877319338481234, 0.6909611088624507, 0.6703727040281802, 0.6425151445904765, 0.6569881648291843, 0.6389169722584763, 0.6404038365019692, 0.6329073145534053, 0.6290216263782497, 0.620447572072347]","[1.0059880961071361, 1.0059880018234253, 1.0058038933349378, 0.9452783750945871, 0.8953849886463146, 0.9144672347740693, 0.9273708158129393, 0.8614897772067726, 0.9172302776033228, 0.8615464303800554, 0.8605604348068285, 0.8295819162901001, 0.7977750084978161, 0.7796399629808436, 0.7326457172572011, 0.7056107645971005, 0.7276657996710503, 0.7022465600013131, 0.6871199794264152, 0.6930991585612899]","[1.0059880018234253, 1.0057630622989, 1.001881009400493, 1.0032163285004971, 0.9707250331477686, 0.8726453007531888, 0.9923505390533293, 0.8106744584636857, 0.9302505164977276, 0.7875799267701429, 0.7802405098110738, 0.763639571302467, 0.7236329384283586, 0.7199006611981777, 0.7058969820629467, 0.6936556274692217, 0.6778196896386869, 0.6923439108452412, 0.6592558336333193, 0.6796654739343759]","[1.0059880018234253, 1.0059880018234253, 1.0058722949750496, 1.0021960040656004, 0.9792994107983329, 0.9457922507897772, 0.9291647640593124, 0.8961079665386316, 0.8943057607279884, 0.74801076951051, 0.7633817607525624, 0.7819596857554985, 0.7293083993563748, 0.7172152898046705, 0.7090773072206613, 0.7215989328484342, 0.7088959356991932, 0.6966412502135894, 0.685799107885722, 0.6674244871916193]"
5,"[1.0059881210327148, 1.0059027798488887, 1.0031164698648933, 1.0022789838217725, 0.9382323311826195, 0.8740511997962239, 0.8720061246433644, 0.8623307777233798, 0.8624547560889312, 0.8456382912728522, 0.7708947675140819, 0.7973334240597306, 0.743709342535397, 0.700274194679176, 0.676820774839984, 0.6773270939862487, 0.6512435832920701, 0.6496968464989855, 0.6431076216517073, 0.6338902929666066]","[1.0059881210327148, 1.0059880018234253, 0.980201610784338, 1.0054018642444804, 0.9032804471434969, 0.9594468973983418, 0.9602814270149578, 0.9066909907291634, 0.8016673398198504, 0.7829239156420785, 0.7421539106573721, 0.7190563671591909, 0.7000657506527925, 0.6781474944542755, 0.6543399374894422, 0.6504980280573922, 0.646482415057794, 0.6233619372110174, 0.628250589885495, 0.6105584135922518]","[1.0059880018234253, 1.0059879577521122, 1.003687952552179, 0.9927174679498479, 0.795421765079402, 0.843897233409713, 0.725215103076865, 0.7586434008647697, 0.8913578047069034, 0.9794775405556264, 0.7350887654360496, 0.7213894646200869, 0.7107946715978058, 0.6837690715326203, 0.6871473914956806, 0.7010301891285362, 0.6701687117824049, 0.6791825519998869, 0.6695258301315885, 0.6537288326085215]","[1.0059879606179516, 1.0059121975995073, 1.0045935912084099, 0.9898062381720302, 0.951450892355707, 0.908946358034707, 0.9293098243438837, 0.9555138934501494, 0.7428017389804425, 0.7646509769528803, 0.7420855274254625, 0.7383079413904085, 0.7450146170532462, 0.7500258637182038, 0.7562306171655655, 0.7395975773277307, 0.7185928104080335, 0.6910123683692831, 0.7130261801469205, 0.6947112785069027]","[1.0059878826141357, 1.0059539217900748, 1.0059243205099395, 0.9998617419148936, 0.8412907564068082, 0.9828707405352833, 0.9147207062051754, 0.9150599887635973, 0.8489073400485395, 0.7508926920321854, 0.7633212537867854, 0.7907658643283025, 0.7555716333425406, 0.7541584057880171, 0.7355769261988726, 0.7381758007437291, 0.7255189538920167, 0.718413001286863, 0.6926367083432698, 0.6893782645147858]"
6,"[1.0059880018234253, 1.0059277604806303, 0.9940674619482022, 1.003993910189831, 0.993547963662581, 0.7474938261614303, 0.8743612899382909, 0.7038548552974908, 0.9202789344390233, 0.7238099282031709, 0.7134893968580949, 0.9617815535116677, 0.7045875152478916, 0.6711093382778192, 0.6278754160952087, 0.6293367402511414, 0.6359142650648801, 0.6219520027920453, 0.6072231297398155, 0.6135616730876041]","[1.0059880018234253, 1.0057349749285764, 1.001517240085987, 1.0041392625702752, 0.921384788077287, 0.9092741799294346, 0.9741994226701332, 0.8119555232545944, 0.8612107637118209, 0.7338905471924579, 0.7401118363695915, 0.7685033506817288, 0.7320626345577866, 0.7176826646638037, 0.7011529814489562, 0.6904841566868503, 0.706455313662688, 0.6982931927072279, 0.6690101256108645, 0.6700026400582959]","[1.0059880018234253, 1.00596999007042, 0.9879216925664381, 1.0054773261330345, 0.9785562345114621, 0.8352869871409252, 0.9577012257864981, 0.8925504880120055, 0.821798538613801, 0.8379312180088024, 0.8236482535438104, 0.8324907293449146, 0.7920828127559989, 0.7850027888351017, 0.7690968807869487, 0.7359831351403034, 0.7164026816415064, 0.7121261774108868, 0.6989514589851553, 0.6983441737580179]","[1.0059878826141357, 1.0059868359324908, 1.0006815197130647, 1.0046576501143099, 0.9918586949868635, 0.9479537838275987, 0.8883725414914314, 0.9773517058232818, 0.7916433668287114, 0.83185687836523, 0.7481632431649199, 0.7092285256644693, 0.6929820569687419, 0.6723243607400041, 0.6645967846130482, 0.6703061468944405, 0.6534582875247555, 0.6544610013323601, 0.6493777733770284, 0.6284704966828076]","[1.0059881210327148, 1.0059880018234253, 1.0059880018234253, 1.0054914527710037, 1.0018944162310977, 0.9095405095514625, 0.9968116533154189, 0.8512933010464967, 0.9032287240510035, 0.7729962645726974, 0.7777913014741257, 0.7365049623073352, 0.7761137376228968, 0.7409945924881131, 0.7257540838871941, 0.7284151833301241, 0.7225397626754612, 0.7197030742270778, 0.706892860298506, 0.6969985238650832]"
7,"[1.0059880018234253, 1.0059880018234253, 1.0059139370918273, 1.004068278158554, 0.964014830468881, 0.8880768510307928, 0.9136546638698289, 0.907415672040949, 0.8938828550384502, 0.8956887636883091, 0.8443361104866772, 0.780444018815202, 0.7393915399878916, 0.6923838567161801, 0.6689616533978419, 0.6496526924076707, 0.6692482882557493, 0.6466490010149551, 0.6287523530258072, 0.6196462656482301]","[1.0059880018234253, 1.0059880018234253, 1.0003848103441373, 1.0038892443974812, 0.7258027566502793, 0.8622280492987295, 0.8894977511992358, 0.9178782549500465, 0.75658683108862, 0.7587756943431767, 0.7692172707542024, 0.7695126351051861, 0.769587229676921, 0.7422096144445617, 0.7324401364242188, 0.7190218984298031, 0.7215328319144971, 0.681411597457799, 0.7055233646372352, 0.6615901028793869]","[1.005988043028899, 1.0059847512389675, 1.005934503295205, 0.9608624559881711, 0.9194696581122851, 0.8590366291337543, 0.8331266007007975, 0.8532529390430209, 0.8768453340157114, 0.7931708350025042, 0.7380980514637148, 0.7668907534985832, 0.669288391639488, 0.6909153213043405, 0.6752839255347999, 0.6866333279555494, 0.6719491557536101, 0.6652183307029984, 0.6680287709681675, 0.6621906376080682]","[1.0059880488569086, 1.0059880018234253, 0.9454142984236129, 1.0040542631919938, 0.9098470583437669, 0.9515792274535304, 0.8144098375116785, 0.7306090562271349, 0.7709794007693276, 0.7318800915687373, 0.7425045162951104, 0.7699574252963066, 0.722396379980174, 0.6979502971033857, 0.6905260079301367, 0.687028431219585, 0.6432635670877768, 0.6568783810855162, 0.6284925894318807, 0.6191321942104836]","[1.0059881210327148, 1.0058326996938147, 1.004929136266612, 0.9982393797720321, 0.9718508914383975, 0.850540531973044, 0.929402892938768, 0.9814998996137368, 0.8253954859153189, 0.7911671938604177, 0.7644710422224469, 0.7431852281484941, 0.7335719297856393, 0.7054765959957031, 0.7101179543875082, 0.7086435910938966, 0.6961597155501144, 0.6918345355430636, 0.6768907747274697, 0.6668645610968874]"
8,"[1.0059881210327148, 1.005793246259593, 1.0059880018234253, 0.9199132195988087, 0.8890715806141044, 0.9058977828844629, 0.7340580864356022, 0.9063355523648888, 0.7140603115688069, 0.8361686347236837, 0.7382383959657616, 0.8941404044266903, 0.7033903133944429, 0.6709254936196587, 0.6506565331133327, 0.6668243909649777, 0.6207535244584685, 0.6584961637523439, 0.64835256324573, 0.6564557583916066]","[1.00598790139863, 1.0059880018234253, 1.0036186786131425, 0.985532641458993, 0.9686160538082171, 0.8776491667857074, 0.8196373745964634, 0.9491425728918326, 0.68837584155226, 0.6935481674954145, 0.7529087042808533, 0.9438554650785947, 0.6650275654232863, 0.6603306161108041, 0.6607167479215246, 0.6316454314252343, 0.627716509776585, 0.6189689474424931, 0.5935943779695516, 0.618358839885755]","[1.0059881210327148, 1.0059868502616882, 0.974430295855108, 0.9984589536984761, 0.8776531718415443, 0.9361556927001837, 0.8418663447734082, 0.991217571743811, 0.8613117770353953, 0.9911845924035467, 0.8364992184199468, 0.8032197238098492, 0.7533811754018369, 0.7426780411224775, 0.7209142508952304, 0.7307910149762726, 0.6942327458358775, 0.6776605768306087, 0.6617850107421177, 0.6805618284627645]","[1.0059880018234253, 1.0059880018234253, 1.0054866377994267, 1.0055349609586928, 0.9891712880495823, 0.9557908974031005, 0.9248768475200191, 0.7574195061157448, 0.7213211351557813, 0.9284608815234117, 0.8793531710345938, 0.717392118907336, 0.7927622125335414, 0.7160502469599849, 0.7227265949818221, 0.7093567477166652, 0.7081348882389791, 0.6947569345238835, 0.6616921656917442, 0.6626080354897663]","[1.0059881210327148, 1.0059880018234253, 1.0046310791583977, 0.9273764754876946, 1.005905450401884, 0.8589438959625032, 0.9527694899807073, 0.9297760988726761, 0.864298215068952, 0.7670102216920467, 0.8363287567821416, 0.8018078325402858, 0.7488255106891044, 0.7281016459037559, 0.7329125487262552, 0.7135632000472208, 0.7221718369499601, 0.6859156218517308, 0.686923519112546, 0.6785099788446619]"
9,"[1.0059880018234253, 1.005961861875322, 1.0059880018234253, 1.0041409110300468, 0.9835866483534226, 0.8893894699245992, 0.9335432854686121, 0.7920907823907004, 0.9260818517870373, 0.8766405418123862, 0.7511282034609655, 0.723681506502508, 0.7895448895716908, 0.7234906768422537, 0.7075682292110992, 0.701712145564532, 0.6746377071723192, 0.6619704569831039, 0.6574578542766547, 0.6589306084149413]","[1.0059880018234253, 1.0059880018234253, 1.0024624281700212, 0.9571275961940939, 0.972789643900563, 1.0050743178646975, 0.9870502433150705, 0.9250050982260944, 0.9260878900205246, 0.8342421511598308, 0.7410657818675643, 0.7933929161908049, 0.7152434971371684, 0.6570583483817601, 0.6449533882676953, 0.6656085762968569, 0.6425527858267529, 0.6446624929721307, 0.624403097485051, 0.6175695483853119]","[1.0059880018234253, 1.0059880018234253, 1.0045135702388455, 1.0058377537101206, 0.7647898193320842, 0.815158084405191, 0.8632977628707885, 0.8698624401802969, 0.8430638005336125, 0.8485462962888708, 0.8016587947534792, 0.8515947295921017, 0.7940074961775481, 0.7559883430825941, 0.7381790209403544, 0.7266984610394998, 0.7351553816325737, 0.7304154078421569, 0.7045172081120087, 0.67986287176308]","[1.0059880178624934, 1.0059742899133701, 1.0055064061193755, 1.0033090818048727, 0.9031369793625793, 0.868168603720689, 0.8868274995534107, 0.9069775869479083, 0.7812210908727815, 0.8854854016653215, 0.7047788285035076, 0.746240122544043, 0.7224753067318839, 0.7246770454792664, 0.7065268565548791, 0.71067129226345, 0.7048518060554158, 0.6899869828723898, 0.669645868341128, 0.6631715855453953]","[1.005988081224037, 1.0059880018234253, 1.000959699250231, 1.0017275090651079, 0.8732115275615996, 0.8685950960128597, 0.8827486438763262, 0.7162785757129843, 0.8638423555607747, 0.8280927590559227, 0.6851235665004662, 0.6868381268659023, 0.6762011362536989, 0.6999772297733962, 0.6727600774665674, 0.6740900853035426, 0.6706999282192703, 0.6733137539872015, 0.6650063621832265, 0.6566385028217778]"
